film_name,chunk_num,sent_num,token_num,token_str,term_str,speaker,pos,pos_group
miyazaki_castle_in_the_sky,0,0,0,Ah,ah,MEN,NN,n
miyazaki_castle_in_the_sky,1,0,0,Wah,wah,CREWMAN,NN,n
miyazaki_castle_in_the_sky,1,1,0,It,it,CREWMAN,PRP,x
miyazaki_castle_in_the_sky,1,1,1,'s,s,CREWMAN,VBZ,v
miyazaki_castle_in_the_sky,1,1,2,a,a,CREWMAN,DT,x
miyazaki_castle_in_the_sky,1,1,3,gas,gas,CREWMAN,NN,n
miyazaki_castle_in_the_sky,1,1,4,bomb,bomb,CREWMAN,NN,n
miyazaki_castle_in_the_sky,1,2,0,It,it,CREWMAN,PRP,x
miyazaki_castle_in_the_sky,1,2,1,'s,s,CREWMAN,VBZ,v
miyazaki_castle_in_the_sky,1,2,2,an,an,CREWMAN,DT,x
miyazaki_castle_in_the_sky,1,2,3,attack,attack,CREWMAN,NN,n
miyazaki_castle_in_the_sky,2,0,0,Wah,wah,MEN,NN,n
miyazaki_castle_in_the_sky,3,0,0,Ah,ah,Voices,NN,n
miyazaki_castle_in_the_sky,3,1,0,Wah,wah,Voices,NN,n
miyazaki_castle_in_the_sky,3,2,0,Hey,hey,Voices,NN,n
miyazaki_castle_in_the_sky,4,0,0,Hold,hold,MOOSKA,VB,v
miyazaki_castle_in_the_sky,4,0,1,them,them,MOOSKA,PRP,x
miyazaki_castle_in_the_sky,4,0,2,there,there,MOOSKA,RB,r
miyazaki_castle_in_the_sky,4,1,0,You,you,MOOSKA,PRP,x
miyazaki_castle_in_the_sky,4,1,1,get,get,MOOSKA,VB,v
miyazaki_castle_in_the_sky,4,1,2,down,down,MOOSKA,RP,x
miyazaki_castle_in_the_sky,4,1,3,on,on,MOOSKA,IN,x
miyazaki_castle_in_the_sky,4,1,4,the,the,MOOSKA,DT,x
miyazaki_castle_in_the_sky,4,1,5,floor,floor,MOOSKA,NN,n
miyazaki_castle_in_the_sky,5,0,0,Tear,tear,DARK GLASSES,NNP,n
miyazaki_castle_in_the_sky,5,0,1,gas,gas,DARK GLASSES,NN,n
miyazaki_castle_in_the_sky,6,0,0,What,what,DORA'S VOICE,WP,x
miyazaki_castle_in_the_sky,6,0,1,'s,s,DORA'S VOICE,VBZ,v
miyazaki_castle_in_the_sky,6,0,2,the,the,DORA'S VOICE,DT,x
miyazaki_castle_in_the_sky,6,0,3,delay,delay,DORA'S VOICE,NN,n
miyazaki_castle_in_the_sky,7,0,0,Ah,ah,SHEETA,NN,n
miyazaki_castle_in_the_sky,8,0,0,Ca,ca,DORA'S VOICE,NNP,n
miyazaki_castle_in_the_sky,8,0,1,n't,nt,DORA'S VOICE,RB,r
miyazaki_castle_in_the_sky,8,0,2,you,you,DORA'S VOICE,PRP,x
miyazaki_castle_in_the_sky,8,0,3,break,break,DORA'S VOICE,VB,v
miyazaki_castle_in_the_sky,8,0,4,in,in,DORA'S VOICE,IN,x
miyazaki_castle_in_the_sky,8,0,5,at,at,DORA'S VOICE,IN,x
miyazaki_castle_in_the_sky,8,0,6,once,once,DORA'S VOICE,RB,r
miyazaki_castle_in_the_sky,9,0,0,She,she,LOUIE,PRP,x
miyazaki_castle_in_the_sky,9,0,1,'s,s,LOUIE,VBZ,v
miyazaki_castle_in_the_sky,9,0,2,here,here,LOUIE,RB,r
miyazaki_castle_in_the_sky,9,1,0,Mama,mama,LOUIE,NNP,n
miyazaki_castle_in_the_sky,9,1,1,she,she,LOUIE,PRP,x
miyazaki_castle_in_the_sky,9,1,2,'s,s,LOUIE,VBZ,v
miyazaki_castle_in_the_sky,9,1,3,here,here,LOUIE,RB,r
miyazaki_castle_in_the_sky,9,2,0,She,she,LOUIE,PRP,x
miyazaki_castle_in_the_sky,9,2,1,was,was,LOUIE,VBD,v
miyazaki_castle_in_the_sky,9,2,2,hiding,hiding,LOUIE,VBG,v
miyazaki_castle_in_the_sky,10,0,0,Hurry,hurry,DORA,NNP,n
miyazaki_castle_in_the_sky,10,0,1,up,up,DORA,RB,r
miyazaki_castle_in_the_sky,10,0,2,and,and,DORA,CC,x
miyazaki_castle_in_the_sky,10,0,3,catch,catch,DORA,VB,v
miyazaki_castle_in_the_sky,10,0,4,her,her,DORA,PRP$,x
miyazaki_castle_in_the_sky,11,0,0,Mama,mama,LOUIE,NNP,n
miyazaki_castle_in_the_sky,11,0,1,I,i,LOUIE,PRP,x
miyazaki_castle_in_the_sky,11,0,2,'ll,ll,LOUIE,MD,x
miyazaki_castle_in_the_sky,11,0,3,fall,fall,LOUIE,VB,v
miyazaki_castle_in_the_sky,12,0,0,That,that,DORA,DT,x
miyazaki_castle_in_the_sky,12,0,1,'s,s,DORA,VBZ,v
miyazaki_castle_in_the_sky,12,0,2,it,it,DORA,PRP,x
miyazaki_castle_in_the_sky,12,0,3,the,the,DORA,DT,x
miyazaki_castle_in_the_sky,12,0,4,stone,stone,DORA,NN,n
miyazaki_castle_in_the_sky,12,1,0,Hurry,hurry,DORA,NNP,n
miyazaki_castle_in_the_sky,12,1,1,into,into,DORA,IN,x
miyazaki_castle_in_the_sky,12,1,2,the,the,DORA,DT,x
miyazaki_castle_in_the_sky,12,1,3,next,next,DORA,JJ,j
miyazaki_castle_in_the_sky,12,1,4,room,room,DORA,NN,n
miyazaki_castle_in_the_sky,12,2,0,It,it,DORA,PRP,x
miyazaki_castle_in_the_sky,12,2,1,'s,s,DORA,VBZ,v
miyazaki_castle_in_the_sky,12,2,2,a,a,DORA,DT,x
miyazaki_castle_in_the_sky,12,2,3,Levistone,levistone,DORA,NN,n
miyazaki_castle_in_the_sky,13,0,0,Ah,ah,SHEETA,NN,n
miyazaki_castle_in_the_sky,14,0,0,Scream,scream,WOMAN,NN,n
miyazaki_castle_in_the_sky,15,0,0,Ah,ah,SHEETA,NN,n
miyazaki_castle_in_the_sky,16,0,0,Damn,damn,DORA,NNP,n
miyazaki_castle_in_the_sky,16,0,1,the,the,DORA,DT,x
miyazaki_castle_in_the_sky,16,0,2,Levistone,levistone,DORA,NNP,n
miyazaki_castle_in_the_sky,17,0,0,Laputa,laputa,Title,NNP,n
miyazaki_castle_in_the_sky,17,0,1,The,the,Title,DT,x
miyazaki_castle_in_the_sky,17,0,2,Castle,castle,Title,NNP,n
