film_name,director,year,n_chunks,n_tokens
miyazaki_castle_in_the_sky,Miyazaki,1986,907,6591
miyazaki_howls_moving_castle,Miyazaki,2004,1353,8673
miyazaki_kikis_delivery_service,Miyazaki,1989,692,6971
miyazaki_my_neighbor_totoro,Miyazaki,1988,489,3794
miyazaki_nausicaa,Miyazaki,1984,848,7165
miyazaki_ponyo,Miyazaki,2008,817,3657
miyazaki_porco_rosso,Miyazaki,1992,665,6804
miyazaki_princess_mononoke,Miyazaki,1997,760,8429
miyazaki_spirited_away,Miyazaki,2001,451,10144
miyazaki_the_wind_rises,Miyazaki,2013,976,6006
takahata_grave_of_the_fireflies,Takahata,1988,549,6069
takahata_only_yesterday,Takahata,1991,833,7317
takahata_pom_poko,Takahata,1994,1626,12523
takahata_princess_kaguya,Takahata,2013,1224,6363
