term_str,PC0,PC1,PC2,PC3,PC4
0,-6.9330134975279324e-06,-1.1269013116831379e-05,-1.5676778919035703e-05,-5.395581578945928e-06,4.849045299857674e-07
05,-6.933013497571368e-06,-1.126901311687246e-05,-1.567677891893277e-05,-5.395581578923733e-06,4.849045299882186e-07
1,-0.0001441516110847056,-0.00024764469541878375,-0.0003819548642403684,-0.0002505637281904061,-0.0006075030627142786
10,-2.5169697509592998e-05,-4.323028833290862e-05,-7.25250797738628e-05,0.00014819068674496268,1.1863300163174121e-05
100,-1.229721965839561e-05,-2.076668057926826e-05,-2.4454801150706258e-05,-1.9398356310160758e-05,2.298898034366592e-06
1000,-8.713483589133437e-06,-1.52476932527464e-05,-2.273009713568521e-05,-1.9120726715319936e-05,-2.56145511408308e-05
1000000,-4.115492097232065e-06,-7.37695973178365e-06,-9.643738266153532e-06,-1.196542332609258e-05,4.357407002047578e-06
105,-4.115492097259193e-06,-7.376959731816785e-06,-9.643738266195253e-06,-1.1965423326108608e-05,4.357407002074103e-06
12,-8.1466207374897e-06,-1.3748616749674944e-05,-1.867009511961578e-05,-1.2801145038965226e-05,3.5704806596529834e-06
120,-7.928414555506208e-06,-1.3576932814103618e-05,-1.7396337793224315e-05,-1.5298875400156354e-05,7.386564148946217e-07
123,-6.148609829221844e-06,-1.038334028966353e-05,-1.222740057539125e-05,-9.699178155088795e-06,1.1494490171774708e-06
13,-2.0274470002953955e-05,-3.5206832560156966e-05,-3.844812002848744e-05,-3.24199164654706e-05,7.209472940865977e-08
133,-7.92841455550312e-06,-1.3576932814099843e-05,-1.739633779321953e-05,-1.5298875400153823e-05,7.386564148923964e-07
13yearold,-6.758156667650127e-06,-1.173561085338378e-05,-1.2816040009493688e-05,-1.0806638821821616e-05,2.4031576469201507e-08
14,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
145,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
15,-2.5302442100442998e-05,-4.22341524229563e-05,-5.357766679513858e-05,-2.7871864077856617e-05,1.1080731300822731e-06
150,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
15th,-2.622125992617345e-05,-4.7955200940073226e-05,-7.569141853643049e-05,-0.00011782619693977263,-0.00020461718048269366
16,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
17,-1.3866026995135076e-05,-2.253802623377149e-05,-3.135355783803537e-05,-1.0791163157893955e-05,9.698090599469093e-07
1910,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
1927,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
1932,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
1945,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
1966,-6.148609829199116e-06,-1.0383340289635737e-05,-1.2227400575356544e-05,-9.699178155078256e-06,1.1494490171502262e-06
1967,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
1993,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
2,-0.00010433321425955416,-0.0001799682731109222,-0.000287301917940202,-0.0001063540301463514,-0.0004587386507352278
20,-1.7203867314279167e-05,-2.962753485223208e-05,-4.406576224276749e-05,-3.187666541441247e-05,-5.7110325788683595e-05
200,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
21,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
220,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
230,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
240,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
250,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
27,-9.645741042459956e-06,-1.5965372851838048e-05,-2.0575159724583076e-05,-1.1130128108385491e-05,1.20509134788528e-06
270,-1.5856829111035153e-05,-2.7153865628235018e-05,-3.4792675586483276e-05,-3.059775080032518e-05,1.4773128298172499e-06
3,-3.1926768363634104e-05,-5.46288881610947e-05,-8.209465389643411e-05,1.8344671195792911e-06,-7.087138959911341e-05
300,-1.5403593942161947e-05,-2.6604142888775358e-05,-4.236596566579612e-05,-2.7932487335903822e-05,-7.81920907076041e-05
3000,-1.468782146531337e-05,-2.416595794897984e-05,-3.355594754953761e-05,-3.3555015907957256e-05,6.411283609675723e-06
300000,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
31,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
311382,-9.087054360649962e-05,0.00026936276190924494,2.3540349416308355e-05,5.8534753981287895e-06,-8.025388520741435e-07
32,-8.230984194477592e-06,-1.4753919463583698e-05,-1.9287476532327646e-05,-2.3930846652193635e-05,8.714814004111074e-06
33,-8.230984194477592e-06,-1.4753919463583698e-05,-1.9287476532327646e-05,-2.3930846652193635e-05,8.714814004111074e-06
33rd,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
4,-2.5858671943233038e-05,-4.368568264005307e-05,-5.849158774249558e-05,-3.732470106679787e-05,-3.5009147545389605e-05
40,-1.9581913928869847e-05,-3.574893433972153e-05,-3.380734987071484e-05,0.00015555558218695407,7.209792937223986e-05
430,-1.3516313335301455e-05,-2.347122170676966e-05,-2.5632080018989662e-05,-2.1613277643645184e-05,4.8063152938380925e-08
5,-3.206111578036234e-05,-5.4508739901159385e-05,-7.271410470816413e-05,-5.0601620109986376e-05,-5.270697222787244e-05
50,-1.136214396208465e-05,-1.993489267646031e-05,-3.45690105554855e-05,0.00010187913539109443,5.050361614920078e-06
500,-1.2417059106703086e-05,-2.1511560784532497e-05,-2.9863186360354498e-05,-2.313337921970498e-05,-2.4030603775639937e-05
5000,-1.2297219658398232e-05,-2.0766680579271475e-05,-2.445480115071309e-05,-1.9398356310156513e-05,2.2988980343004523e-06
50km,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
55,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
5th,-1.8445829487598546e-05,-3.115002086890924e-05,-3.668220172607203e-05,-2.909753446523663e-05,3.4483470514509546e-06
6,-1.5645183500042933e-05,-2.711480480321898e-05,-3.451910836110175e-05,-2.6234576582259727e-05,-2.87920478316654e-05
60,-1.2131497248074835e-05,-2.040325907910155e-05,-2.8652684021925767e-05,-1.6963208064164893e-05,-2.186677671663158e-05
65,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
7,-1.3866026995135076e-05,-2.253802623377149e-05,-3.135355783803537e-05,-1.0791163157893955e-05,9.698090599469093e-07
700,-1.8521622946275386e-05,-3.330500886481932e-05,-6.931067998242342e-05,0.0002957367875777097,1.1399775404999465e-05
700am,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
8,-1.8370742189525518e-05,-3.036704087247363e-05,-4.178865556970871e-05,-2.0758014210919446e-05,4.285569820913536e-06
9,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
90s,-8.267534381846718e-06,-1.620368610732571e-05,2.4208694940974476e-05,-1.8435669289962392e-05,0.00011209281574915771
98,-9.260811473136898e-06,-1.6652504432408217e-05,-3.465533999120868e-05,0.00014786839378884208,5.6998877024992504e-06
999,-8.230984194477592e-06,-1.4753919463583698e-05,-1.9287476532327646e-05,-2.3930846652193635e-05,8.714814004111074e-06
