term_str,n,p,i,n_chars,porter_stem,stop,max_pos,max_pos_group
0,1,9.94965474698028e-06,16.616922104317258,1,0,False,CD,x
000411451,1,9.94965474698028e-06,16.616922104317258,9,000411451,False,CD,x
000548106,1,9.94965474698028e-06,16.616922104317258,9,000548106,False,CD,x
000736,1,9.94965474698028e-06,16.616922104317258,6,000736,False,CD,x
000739,1,9.94965474698028e-06,16.616922104317258,6,000739,False,CD,x
000809949,1,9.94965474698028e-06,16.616922104317258,9,000809949,False,CD,x
001021162,1,9.94965474698028e-06,16.616922104317258,9,001021162,False,CD,x
001133843,1,9.94965474698028e-06,16.616922104317258,9,001133843,False,CD,x
001728981,1,9.94965474698028e-06,16.616922104317258,9,001728981,False,CD,x
002912332,1,9.94965474698028e-06,16.616922104317258,9,002912332,False,CD,x
003241911,1,9.94965474698028e-06,16.616922104317258,9,003241911,False,CD,x
003302274,1,9.94965474698028e-06,16.616922104317258,9,003302274,False,CD,x
004547791,1,9.94965474698028e-06,16.616922104317258,9,004547791,False,CD,x
004603169,1,9.94965474698028e-06,16.616922104317258,9,004603169,False,CD,x
005019960,1,9.94965474698028e-06,16.616922104317258,9,005019960,False,CD,x
005318832,1,9.94965474698028e-06,16.616922104317258,9,005318832,False,CD,x
005606310,1,9.94965474698028e-06,16.616922104317258,9,005606310,False,CD,x
005625901,1,9.94965474698028e-06,16.616922104317258,9,005625901,False,CD,x
010843477,1,9.94965474698028e-06,16.616922104317258,9,010843477,False,CD,x
012255168,1,9.94965474698028e-06,16.616922104317258,9,012255168,False,CD,x
012425091,1,9.94965474698028e-06,16.616922104317258,9,012425091,False,CD,x
013228531,1,9.94965474698028e-06,16.616922104317258,9,013228531,False,CD,x
013451361,1,9.94965474698028e-06,16.616922104317258,9,013451361,False,CD,x
013617470,1,9.94965474698028e-06,16.616922104317258,9,013617470,False,CD,x
015129709,1,9.94965474698028e-06,16.616922104317258,9,015129709,False,CD,x
015152585,1,9.94965474698028e-06,16.616922104317258,9,015152585,False,CD,x
015211709,1,9.94965474698028e-06,16.616922104317258,9,015211709,False,CD,x
015244773,1,9.94965474698028e-06,16.616922104317258,9,015244773,False,CD,x
015310654,1,9.94965474698028e-06,16.616922104317258,9,015310654,False,CD,x
015337039,1,9.94965474698028e-06,16.616922104317258,9,015337039,False,CD,x
024800,1,9.94965474698028e-06,16.616922104317258,6,024800,False,CD,x
05,1,9.94965474698028e-06,16.616922104317258,2,05,False,CD,x
055910,1,9.94965474698028e-06,16.616922104317258,6,055910,False,CD,x
094809,1,9.94965474698028e-06,16.616922104317258,6,094809,False,CD,x
1,42,0.0004178854993731718,11.2246046815385,1,1,False,CD,x
10,10,9.949654746980279e-05,13.294994009429898,2,10,False,CD,x
100,2,1.989930949396056e-05,15.61692210431726,3,100,False,CD,x
1000,2,1.989930949396056e-05,15.61692210431726,4,1000,False,CD,x
1000000,1,9.94965474698028e-06,16.616922104317258,7,1000000,False,CD,x
105,1,9.94965474698028e-06,16.616922104317258,3,105,False,CD,x
12,2,1.989930949396056e-05,15.61692210431726,2,12,False,CD,x
120,1,9.94965474698028e-06,16.616922104317258,3,120,False,CD,x
123,1,9.94965474698028e-06,16.616922104317258,3,123,False,CD,x
1240,1,9.94965474698028e-06,16.616922104317258,4,1240,False,CD,x
13,3,2.984896424094084e-05,15.031959603596103,2,13,False,CD,x
133,1,9.94965474698028e-06,16.616922104317258,3,133,False,CD,x
134000,1,9.94965474698028e-06,16.616922104317258,6,134000,False,CD,x
13yearold,1,9.94965474698028e-06,16.616922104317258,9,13yearold,False,JJ,j
14,1,9.94965474698028e-06,16.616922104317258,2,14,False,CD,x
145,1,9.94965474698028e-06,16.616922104317258,3,145,False,CD,x
15,5,4.9748273734901396e-05,14.294994009429898,2,15,False,CD,x
150,1,9.94965474698028e-06,16.616922104317258,3,150,False,CD,x
15800,1,9.94965474698028e-06,16.616922104317258,5,15800,False,CD,x
1593,1,9.94965474698028e-06,16.616922104317258,4,1593,False,CD,x
15th,3,2.984896424094084e-05,15.031959603596103,4,15th,False,JJ,j
16,1,9.94965474698028e-06,16.616922104317258,2,16,False,CD,x
17,3,2.984896424094084e-05,15.031959603596103,2,17,False,CD,x
1910,1,9.94965474698028e-06,16.616922104317258,4,1910,False,CD,x
1927,1,9.94965474698028e-06,16.616922104317258,4,1927,False,CD,x
1932,1,9.94965474698028e-06,16.616922104317258,4,1932,False,CD,x
1945,1,9.94965474698028e-06,16.616922104317258,4,1945,False,CD,x
1966,1,9.94965474698028e-06,16.616922104317258,4,1966,False,CD,x
1967,1,9.94965474698028e-06,16.616922104317258,4,1967,False,CD,x
1986,1,9.94965474698028e-06,16.616922104317258,4,1986,False,CD,x
