term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
the,-0.14695631,0.025332708,-0.01588253,0.15438522,-0.30491543,0.34483066,-0.08390885,0.24384671,-0.20669161,-0.10107666,0.066353194,-0.06735658,0.15854616,0.2961645,-0.08408768,0.25849438,0.080839135,-0.21038836,0.052180316,0.1649115,0.11892383,-0.25953948,-0.148136,0.3899263,0.2051218,0.10077622,0.03371357,0.08128648,-0.111955754,-0.1254831,-0.006452443,-0.46007633,-0.24713609,0.014748818,0.07864261,-0.11812786,0.20417379,-0.06569028,0.039281145,0.07510231,0.0091230115,0.16797943,0.34843522,-0.12566768,-0.13249485,0.1757158,-0.047431353,0.10627866,0.0983047,0.10372961,0.082958,-0.41591516,-0.17483228,0.13171448,0.045480914,-0.29597512,0.064288996,0.14584363,0.040791515,0.12850228,0.14815542,-0.1227146,-0.40888876,0.15246378,0.10719508,-0.115165964,0.18684164,-0.0687027,-0.24024034,-0.126197,0.21695662,-0.34449586,-0.15303685,-0.26033717,0.05188465,-0.0074843853,0.0035848063,-0.09703424,-0.19367577,-0.03029116,-0.00014648816,0.05534863,-0.14924066,0.0068452978,-0.19517472,0.049656637,-0.24510056,-0.20304179,-3.0757277e-05,0.08097211,-0.019559728,0.31350863,0.09687089,0.09898502,0.10114953,-0.012153419,-0.0041730986,-0.0013685607,-0.07541825,-0.110014424
you,0.15919504,0.003025008,0.14197564,-0.083871596,-0.0007776828,0.16507,0.13305889,0.1064822,-0.09652185,0.14933972,-0.19770251,-0.04503181,0.12948279,0.28583422,-0.21531531,-0.19495605,-0.09227288,-0.29528925,-0.23339418,-0.01678744,0.16032352,0.03885861,-0.13215831,0.26559943,0.32299066,0.037907757,-0.22920834,0.09811963,-0.23424733,0.06903353,0.021068491,-0.02549987,-0.22032961,0.12543577,0.13703977,0.14836694,-0.09360398,-0.17724232,-0.023483606,-0.22341363,0.12219442,-0.19279706,0.11516644,0.1256416,0.13193254,0.31311664,-0.025028523,-0.08140755,0.31409532,-0.16515031,0.021871367,-0.24730258,0.006741334,-0.02567944,-0.058243908,-0.16997185,-0.39219293,-0.17075047,-0.041564748,0.24539909,-0.1127743,-0.20606394,-0.32966918,-0.09099288,0.18557806,0.14598577,-0.147906,-0.15426084,0.010728504,-0.19145657,-0.29073763,-0.22467016,-0.34562406,0.08605169,0.13983873,-0.016206611,0.16253403,-0.04907467,-0.22934075,-0.19461629,0.018127043,-0.22252072,-0.071224906,0.23580611,-0.18524964,0.14452557,-0.3850383,-0.44057,-0.24103925,0.11491333,-0.06202615,0.08757918,0.16821525,-0.268036,0.10509663,-0.07120193,0.072088584,-0.038220152,-0.101481974,-0.09972103
i,-0.09574412,0.17312099,0.18210033,0.10125115,0.013899263,-0.005878944,0.047530886,0.24417244,-0.03722013,0.22687471,-0.25273657,0.036782667,0.26415336,0.10252561,-0.050000485,-0.35336974,0.04866913,-0.31995168,-0.15138574,0.113247305,0.12232611,0.1682325,-0.22031187,0.10361961,0.35145098,-0.13302124,-0.12161577,0.16190934,-0.116803624,-0.2726698,-0.16305888,-0.037070878,-0.20734304,0.10395625,0.08285376,0.22028121,-0.027381329,-0.14293921,-0.15949093,-0.101318486,-0.21049172,0.049008317,-0.13261954,0.2836585,0.038586143,0.16122615,0.22629896,-0.00040478088,0.2542795,-0.051369388,-0.11655294,-0.07306374,-0.10591095,-0.2835701,0.0100191645,-0.33211488,-0.1911246,-0.3032991,-0.16104206,0.17475832,-0.124478735,-0.34725395,-0.4874905,0.18447407,0.06371756,0.2620378,-0.22335277,0.040865973,-0.10402421,0.00618296,-0.19986826,-0.22883815,-0.37900245,0.17555733,0.07570733,-0.00931839,0.20540182,-0.01944404,-0.27326554,-0.5132592,-0.20466965,-0.12584908,0.045449056,0.18277222,-0.3071432,0.06224689,-0.15125464,-0.31794158,0.0027630245,0.062255498,-0.0955612,0.14305907,0.31436002,-0.41573673,0.06626801,0.02678772,0.06506586,0.04820444,-0.14449485,-0.29991788
s,-0.18277076,0.22900158,-0.11076012,0.19494821,-0.12137162,-0.12650776,-0.23261963,-0.08381521,-0.2061229,0.22326764,-0.21514128,0.030124556,-0.082198165,-0.010820767,0.021236807,-0.19234897,0.16247143,0.058035664,0.0551511,0.17504928,-0.13481389,-0.20097286,-0.11738133,0.14994352,0.40806141,-0.032985386,-0.22691022,-0.25528166,-0.21209966,0.1179412,-0.07339879,-0.034074556,-0.17503405,0.10225182,-0.21715617,0.36565015,0.34822786,-0.48758876,0.109876916,0.298029,0.14696646,-0.02427936,0.23086993,-0.10489175,0.15215744,0.0016737506,0.040273692,0.06952455,0.12732325,-0.13319132,-0.17201151,-0.34330568,0.0023269665,0.11720093,0.13824002,0.2940431,-0.13133647,0.16242597,-0.3669376,0.26734707,0.085039385,0.18716852,-0.32560325,-0.045992497,0.072332695,0.08189849,-0.078605935,-0.12357068,-0.12008482,0.043611832,-0.10593618,-0.17688663,-0.27618515,-0.028904106,0.06915273,-0.039827663,0.0006184082,0.07101851,-0.1762691,-0.40346226,-0.25926623,0.22261146,0.16420548,-0.038340174,-0.26535907,-0.058855504,-0.26723808,-0.17755604,-0.140441,-0.14059833,0.040592503,0.012912335,0.068300456,0.03897677,0.12449738,0.28036702,-0.00095638644,-0.23555262,-0.32802573,-0.042805195
to,0.14852303,0.144695,-0.010881803,0.1458467,-0.25409794,0.124183364,0.015818141,0.09473635,-0.0863139,-0.0838479,-0.2003255,-0.07315705,0.10442926,0.12939394,-0.32662228,-0.095362335,0.1791982,-0.22646745,-0.21674606,0.15462412,0.22634898,-0.052262325,-0.10016529,0.19762777,0.19923562,0.00040784574,-0.0151380105,0.16382225,-0.30764872,-0.15543368,-0.13568102,-0.0014898148,-0.12041869,-0.048724055,0.026250273,0.07228258,0.03484789,-0.08057896,-0.07689952,0.07401338,0.051779855,-0.13748541,0.20660295,0.0823741,-0.04262588,0.10067629,0.08087481,0.14007068,0.115697555,-0.005352159,-0.09135208,-0.23547553,-0.1177254,-0.036393087,0.07807695,-0.1842473,-0.13234426,0.009362628,-0.10660168,0.058144066,-0.062261917,-0.24612094,-0.340639,0.10378349,-0.039878383,0.07535891,-0.121002235,0.014944226,-0.20395386,0.083417475,-0.111240976,-0.12471502,-0.15685838,0.0059327413,-0.015079811,-0.10194062,0.057588138,0.08276749,-0.20667243,-0.4456065,-0.15267602,0.11699247,-0.046795264,0.20885946,-0.23328683,0.0010273264,-0.24085322,-0.30917248,0.014963589,0.06220757,0.022571351,0.18034758,0.23738606,-0.19360018,0.0074464167,0.05799582,0.03216646,0.03709559,0.06811166,-0.19311185
it,-0.25468937,0.081126235,-0.018703816,0.14981732,-0.11261424,0.05498847,-0.13682348,0.08425429,-0.1703965,0.19348347,-0.035624072,0.06330006,0.19904964,0.10583081,0.055020127,-0.219883,0.09377123,-0.20145738,-0.21130228,0.00956847,0.032017216,-0.0513241,-0.14211543,0.16798168,0.3200185,-0.11847501,-0.06859334,-0.12358495,-0.001471269,0.09903514,-0.07657345,-0.30509785,-0.09910686,0.03937556,-0.0057229577,0.18037517,0.030766364,-0.341284,0.10132539,0.07151502,0.064912945,-0.045702424,0.11692802,-0.08544848,0.09720813,-0.023056285,0.084226206,-0.014403779,0.22960018,-0.03053397,-0.04506084,-0.3504325,-0.027228283,0.0010341787,0.25216028,0.017909432,0.02400851,-0.05463855,-0.0892408,0.29033458,-0.08785555,-0.23810987,-0.25706312,-0.09052327,0.14347053,0.005261139,0.0050673047,-0.0923947,0.015638096,-0.14005111,0.10788872,-0.27015224,-0.32791424,-0.17619234,0.02574663,-0.116584904,0.16200423,-0.08584401,-0.20112121,-0.21429743,-0.17541759,0.04554004,-0.11980003,-0.06219938,-0.23672745,0.12129367,-0.21779324,-0.35374105,-0.08599255,0.070230834,0.055162683,0.16352159,0.09716829,0.0028762005,-0.1081142,-0.049259603,0.1468901,-0.036885664,-0.09559664,-0.0593825
a,-0.22343388,0.03946475,0.08707712,-0.07444243,-0.0044755624,0.12463478,-0.109534964,0.11252071,-0.07856124,0.24228488,0.031203834,-0.017266255,0.11690752,0.044089854,-0.034293294,-0.10978594,0.11683935,-0.13222459,-0.11984309,0.04226952,0.10649007,-0.0277401,-0.22916949,0.18884023,0.33848348,-0.027762199,-0.10213374,0.05560305,-0.12037841,-0.0424809,-0.07222063,-0.28016806,-0.047160532,0.039006833,-0.17706862,0.33973417,0.12696,-0.3050634,0.08741021,0.0651667,-0.035693094,0.17067693,0.2026766,-0.023074474,0.021800904,0.07957372,0.060191154,0.018809577,0.27560562,0.040218078,-0.024360493,-0.2991223,-0.11186726,0.022162726,0.11247531,-0.005782227,0.016926264,-0.0023433806,-0.15819089,0.19714831,-0.1250941,-0.041829012,-0.37219992,-0.05182579,0.101870015,0.1290974,-0.061812844,0.09480284,-0.08957049,-0.13139334,0.10010014,-0.24382226,-0.20893402,-0.18324211,0.08026251,-0.05643691,0.11162683,-0.10487091,-0.24673541,-0.06665896,-0.23042883,-0.110146545,-0.096650556,-0.04146115,-0.36658087,-0.029296745,-0.25529742,-0.23672672,-0.16430949,0.08347532,-0.04758304,0.097491875,0.038403593,-0.021619273,0.023785517,-0.06144616,0.15312734,-0.08511579,-0.1787671,-0.13785225
that,-0.19369586,0.15059379,0.019342273,0.09989853,-0.1599912,0.1383306,-0.036497813,0.07563238,-0.106425986,0.14845905,-0.060743954,0.015733734,0.1917965,0.16324736,-0.0122798,-0.108218916,0.11144441,-0.19848414,-0.14651991,0.015923264,0.072358094,0.017057227,-0.163014,0.21864918,0.32750764,-0.14653333,-0.08726426,-0.08026627,-0.07373193,0.047136426,0.003254962,-0.27356365,-0.049341112,0.08494111,-0.00333471,0.2106742,0.10066499,-0.2096468,0.10064544,0.03961444,0.040652268,0.034366682,0.22849719,-0.013808653,0.05218279,0.018268837,0.065466344,0.033412565,0.23742643,0.003712825,0.02701413,-0.39319927,-0.07672194,0.008514428,0.16037947,-0.06931215,0.00842453,0.0013252608,-0.05951833,0.21387672,-0.04023514,-0.23769623,-0.23150682,-0.06651178,0.12464388,0.035928007,0.019218171,-0.01221744,-0.06531146,-0.10365686,0.061826516,-0.21781114,-0.36296177,-0.11591822,0.098225795,-0.09199336,0.12324695,0.010324466,-0.1995857,-0.14227308,-0.097566605,-0.011825207,-0.12870398,-0.0495323,-0.31930038,0.06707184,-0.33212057,-0.3015261,-0.09141392,0.03733673,-0.09181262,0.05349314,0.036088683,-0.032638453,-0.045573726,-0.06868173,0.16086842,-0.010946686,-0.12898588,-0.055758424
is,0.013357461,0.13564485,-0.069359794,0.21046661,-0.058814056,0.08373761,0.004095273,0.060328275,-0.22576258,0.19000667,-0.21751699,0.018415695,-0.083155155,0.026524452,0.049028452,-0.00094563724,-0.05008781,-0.100008614,0.00197348,0.352415,-0.23459862,-0.20088317,-0.11679094,0.1632999,0.34826228,-0.030324452,0.08312036,-0.045402788,-0.09481939,-0.19062011,-0.061245438,-0.116128266,-0.116778776,0.068115264,-0.06962446,0.20028049,0.29889885,-0.2780884,0.15578346,0.162926,0.10843006,-0.050002888,0.2886865,-0.16940333,0.06689078,-0.06300123,-0.041791756,-0.0032060368,0.19294459,-0.14749102,0.087101996,-0.35498625,-0.015980933,0.16364336,0.11045295,0.115455575,-0.03780067,0.00011445819,-0.19998614,0.14998917,0.10539376,0.060528852,-0.45943534,-0.019616855,0.12099526,-0.010924524,0.031944536,0.025603343,-0.031610664,-0.07830322,0.08126874,-0.17856424,-0.23445232,-0.19869746,0.17597882,-0.014156063,0.101701915,0.08849759,-0.1968677,-0.19822352,-0.13966809,0.12795821,0.043355264,-0.06787762,-0.29970074,0.009677266,-0.35097995,-0.34074965,-0.14725402,-0.06141328,-0.07697195,0.13345383,0.09507397,0.14036344,0.03841498,0.15256809,0.08656252,-0.18339261,-0.31029326,-0.088805914
nt,-0.24189876,-0.030423552,-0.12680116,0.38306877,-0.13383791,0.087841175,0.007828796,-0.067763545,-0.24446215,-0.011128854,-0.18672745,-0.047405165,0.15157814,0.4717331,-0.23640384,-0.1701474,0.003734506,-0.0825533,-0.37684485,0.21844326,0.24390131,-0.10570958,-0.00027287778,-0.06355447,0.078292035,0.108120106,-0.11795125,-0.039951183,-0.23534915,0.11648745,-0.025824608,-0.022706237,-0.21154127,0.13589863,0.0087897675,0.26877877,-0.3172277,-0.346332,-0.042211737,0.09734205,0.20171133,-0.15036938,0.44672665,0.025006155,-0.02560769,-0.105159394,0.1826684,-0.08549596,0.3682919,-0.2101851,-0.27595896,-0.47117677,0.04534199,0.025559453,0.0653152,-0.16300325,-0.1161685,0.12681204,0.082861505,0.20102622,-0.19518545,-0.51836777,-0.1231053,-0.20980997,0.21256371,0.060467884,0.13369933,-0.21191971,0.26844296,-0.21412212,-0.22913268,-0.32219538,-0.37693635,0.035543196,-0.060801268,-0.22853523,-0.010997054,0.23985963,-0.3972218,-0.24304028,-0.05236034,0.08801763,0.05903781,0.08340188,-0.15907925,0.2365745,-0.33486733,-0.4528068,-0.29556724,0.12878662,0.052996237,-0.010561825,-0.06803125,-0.17029198,0.113349386,0.20164411,0.0071892226,-0.15530664,0.08631197,-0.05217559
